equipos,PJ,G,E,P,GF,GC,DF,Puntos
Bayern,13,9,3,1,39,19,20,30
Leverkusen,13,8,4,1,28,12,16,28
Leipzig,13,8,4,1,24,9,15,28
Wolfsburg,13,6,6,1,20,13,7,24
Dortmund,13,7,1,5,26,18,8,22
Union Berlin,13,5,6,2,27,18,9,21
Stuttgart,13,4,6,3,26,20,6,18
M'gladbach,13,4,6,3,24,22,2,18
Frankfurt,13,3,8,2,21,22,-1,17
Freiburg,13,4,5,4,20,23,-3,17
Augsburg,13,4,4,5,15,19,-4,16
Hoffenheim,13,4,3,6,21,23,-2,15
Bremen,13,3,5,5,16,21,-5,14
Berlin,13,3,4,6,20,24,-4,13
Köln,13,2,5,6,13,21,-8,11
Bielefeld,13,3,1,9,9,23,-14,10
Mainz,13,1,3,9,12,26,-14,6
Schalke,13,0,4,9,8,36,-28,4
